iso_threshold,precision,recall
-0.17453372387767552,0.03401133711237079,1.0
-0.15616061932555453,0.0367170626349892,1.0
-0.13778751477343354,0.04311073541842773,1.0
-0.11941441022131258,0.0504844467108618,0.9705882352941176
-0.10104130566919159,0.0636604774535809,0.9411764705882353
-0.0826682011170706,0.07623318385650224,0.8333333333333334
-0.06429509656494962,0.08253588516746412,0.6764705882352942
-0.04592199201282865,0.09851301115241635,0.5196078431372549
-0.02754888746070766,0.11299435028248588,0.39215686274509803
-0.009175782908586672,0.13636363636363635,0.29411764705882354
0.009197321643534317,0.16379310344827586,0.18627450980392157
0.02757042619565528,0.23076923076923078,0.11764705882352941
0.04594353074777627,0.2692307692307692,0.06862745098039216
0.06431663529989726,0.25,0.0196078431372549
0.08268973985201822,0.0,0.0
